Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.766,0.701,0.818,,,0.701,0.701,0.762
AR52,,,0.864,0.743,0.888,0.668,0.807,0.872,0.853,0.832
ARGO,,,0.913,0.82,0.899,0.673,0.826,0.89,0.876,0.877
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.793,0.986,0.981,,,1.147,1.147,1.253
AR52,,,0.811,0.77,0.841,0.587,0.296,0.63,0.722,0.807
ARGO,,,0.651,0.701,0.916,0.594,0.292,0.618,0.702,0.756
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.387,0.242,0.333,,,0.487,0.487,0.32
AR52,,,0.211,0.22,0.268,0.438,0.295,0.341,0.322,0.233
ARGO,,,0.185,0.196,0.309,0.448,0.37,0.369,0.351,0.23
