Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.818,,,0.847,0.847,0.847
AR52,0.888,0.668,0.807,0.875,0.917,0.841
ARGO(gt),0.908,0.692,0.766,0.881,0.93,0.823
"ARGO(gt,ath)",0.898,0.676,0.826,0.897,0.92,0.861
Net,0.905,0.818,0.741,0.908,0.926,0.825
ARGONet,0.845,0.833,0.782,0.889,0.885,0.836
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.981,,,1.001,1.001,1.001
AR52,0.841,0.587,0.296,0.575,0.781,0.436
ARGO(gt),0.772,0.605,0.343,0.568,0.727,0.455
"ARGO(gt,ath)",0.903,0.589,0.297,0.613,0.859,0.455
Net,0.753,0.436,0.347,0.504,0.687,0.426
ARGONet,0.919,0.419,0.318,0.563,0.829,0.441
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.333,,,0.979,0.979,0.979
AR52,0.268,0.438,0.295,0.431,0.552,0.363
ARGO(gt),0.274,0.461,0.438,0.466,0.549,0.452
"ARGO(gt,ath)",0.313,0.438,0.372,0.491,0.688,0.431
Net,0.242,0.428,0.354,0.416,0.45,0.385
ARGONet,0.26,0.365,0.359,0.397,0.464,0.378
