Week,WA,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,influenza b symptoms,sinus infection cure,robitussin cough,strep,signs of flu,flu fever,flu how long,how to reduce fever,how long flu,upper respiratory,strep throat,intestinal flu,how long does flu last,cold or flu,the flu symptoms,expectorant,how long contagious,how to get rid of the flu,treat flu,contagious flu,flu care,flu or cold,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,type a influenza,flu symptoms,flu incubation,how to get over the flu,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,type a flu,tamiflu side effects,flu shot symptoms,symptoms of flu,cold,cough and fever,flu shots,influenza type a,high fever,flu cold,flu remedies,dangerous fever,flu treatment,body temperature,flu incubation period,flu test,symptoms of bronchitis,robitussin,influenza symptoms,walking pneumonia,how to treat the flu,incubation period for flu,clarithromycin,the flu virus,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,chest cold,rsv infection,flu like symptoms,flu contagious,symptoms of influenza,is the flu contagious,flu contagious period,what is influenza,rsv,tussionex,pneumonia,signs of the flu,how long are you contagious with the flu,fever reducer,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,flu duration,rsv symptoms,oseltamivir,how long is flu contagious,flu vaccine,cold vs flu,a influenza,human temperature,influenza a,influenza b,flu vs cold,normal body,flu medicine,cold symptoms,stomach flu symptoms,symptoms of the flu,early flu symptoms,flu headache,flu type a,what is rsv
2009-10-04,5.833498121,0.0587412587413,0.0608391608392,0.0706293706294,126.858909291,127.007552393,0.0,0.0,0.0,573.725069017,190.462980212,211.68246989,380.372570311,0.0,380.372570311,0.0,444.1121119,0.0,126.549040377,63.1634233795,444.151676383,63.3341866149,252.643878873,63.2150167023,0.0,170.083086053,147.855334524,63.1634233795,0.0,63.6784981096,126.858909291,63.4759929272,0.0,5049.40921804,232.721860555,0.0,84.9509656913,95.0504587581,211.68246989,0.0,63.3867447887,63.4557105358,127.258448352,975.339085209,6871.68228418,0.0,1483.5543117,0.0,127.125009792,380.379282508,126.87377905,0.0,127.046694846,359.721686515,233.303377195,106.213156464,63.9168459203,106.116845017,127.088310573,148.166501452,0.0,63.5979059616,0.0,84.8739454083,0.0,106.059595308,318.764323986,0.0,0.0,127.193897447,63.1067067467,2228.42264397,63.7281501932,0.0,63.3676178289,170.083086053,126.935284311,95.5398994493,0.0,0.0,126.988705972,0.0,1019.39297877,0.0,0.0,63.7528647972,486.812482056,126.858909291,84.9509656913,762.503443718,63.6375097946,1819.11041446,720.49029302,63.5163179798,63.4103781176,63.1823515855,0.0,105.733428298,159.02505164,2324.78368269,159.074321487,63.6270024403,63.4867531589,63.6270024403,0.0,159.074321487,169.167921346,158.919018709,232.321071685,0.0,232.389752066,63.6951350675,127.164962148,63.3867447887,0.0
2009-10-11,8.497337347,0.0726329442283,0.0739299610895,0.0817120622568,123.954899581,61.9774497906,0.0,0.0,61.281742491,516.069315314,205.755550897,267.392194548,472.407086629,61.3964964429,472.407086629,61.7588289214,431.217602606,0.0,225.90741071,123.35019422,410.801540811,61.0976579536,164.056202143,0.0,122.195315907,206.961905239,184.843142346,123.35019422,0.0,62.0899996389,122.379123542,102.906970053,62.0965716901,6307.15262752,287.74269243,0.0,103.154807292,61.9932409736,267.392194548,0.0,61.3480725788,123.943099741,61.9026429713,1092.10887744,7460.046461,61.411263082,1666.52833186,62.0965716901,123.50257326,451.983698247,61.4492121737,62.181127967,185.20971446,328.911493011,370.572715073,246.613306488,93.4226946704,123.752566827,61.7872561577,123.298476624,0.0,124.249233483,61.0793103085,124.136461876,124.168041846,92.5178421917,310.16836832,62.0899996389,244.831902892,371.010430624,0.0,2824.45283999,186.656354797,0.0,61.0609736798,206.961905239,62.014921042,124.481407043,61.0243334316,62.1216020494,184.875744423,124.217595402,1237.24245075,123.954899581,62.3352655141,61.6066665877,370.242824363,122.379123542,103.154807292,1213.765531,0.0,2362.85435637,1172.96538284,154.207034949,102.657824779,0.0,0.0,61.9774497906,93.4226486782,2833.71537711,124.192807871,144.094233932,0.0,144.094233932,0.0,124.192807871,123.442102856,123.690174529,267.091779083,93.1587123087,123.21182214,61.7359750337,0.0,61.3480725788,0.0
2009-10-18,8.210526316,0.0790849673203,0.0797385620915,0.0830065359477,61.1869481255,61.1095648246,0.0,0.0,0.0,759.966771064,163.624106978,368.234439306,694.341217811,0.0,694.341217811,61.3940368267,387.852285017,61.1349121612,204.271754879,81.8503924531,675.061177008,61.0856222242,203.925641121,61.4289097349,61.4166379638,287.371353778,101.915410775,81.8503924531,0.0,61.5260243088,61.4069102707,123.130362237,61.4684763985,7604.40461963,530.808661898,0.0,123.284959853,0.0,368.234439306,0.0,60.7986212143,184.188141185,122.924696495,1639.02132887,6558.54840191,61.9117565062,1985.38750927,61.4684763985,164.233240928,429.151563562,60.9628431804,61.1463556523,163.959135478,469.976292558,532.42937225,246.049609632,82.1970225522,123.071203112,102.438696015,245.0919955,61.855575239,163.550903663,91.5688411718,61.8742909955,61.5947384759,122.833521319,204.771452753,61.8930180811,61.1868758298,286.704425159,0.0,3464.16752931,61.6022745764,0.0,61.7062558057,287.371353778,61.4811406994,61.6210239023,183.733550303,0.0,81.8432342451,0.0,1518.57623713,0.0,92.5155441634,61.1279547027,511.104860844,61.4069102707,123.284959853,1145.76099192,0.0,3188.9425382,1227.68766923,245.251511282,102.031167002,91.8706229914,0.0,61.38883184,122.440140734,3409.15283446,143.474870601,266.130261178,122.329535367,266.130261178,0.0,143.474870601,306.662637771,123.285027635,306.335000509,143.475435298,367.637137003,81.8367328843,91.9371673123,60.7986212143,0.0
2009-10-25,6.835002177,0.0660727542687,0.0668151447661,0.0705270972532,121.41081186,0.0,0.0,61.1440210271,60.6685551991,509.583502318,162.242370468,446.45559359,505.813200675,60.5227227016,505.813200675,101.796913953,425.145498734,0.0,121.312572481,91.56575981,547.845422638,60.6380656681,222.189949856,60.4624536577,121.276131336,305.823889019,161.944481464,91.56575981,0.0,0.0,81.1794961004,101.502949761,60.8574376271,7299.05335421,364.417225187,61.347587683,122.057571831,0.0,446.45559359,60.6927602553,0.0,345.015078157,91.3446531624,1605.49454937,7968.522832,0.0,1928.99785609,60.8574376271,101.595151227,283.371279022,121.500665517,61.0170037933,162.261438136,526.913978564,324.957679565,122.00269078,121.953490322,214.009818906,152.505614747,121.191327467,0.0,182.486012463,0.0,60.8757902922,60.6411502098,101.460156796,142.006017113,61.051936658,91.2417507738,243.737149545,60.6267042109,2968.69704797,0.0,0.0,0.0,305.823889019,61.2178887661,61.0596181282,121.678212212,61.0131052726,91.0673266132,60.9861391568,1037.34793583,0.0,61.2919351995,61.2363835966,405.481947708,81.1794961004,122.057571831,1095.59361195,60.7183407046,3039.70658839,1096.0011863,202.893502167,101.238911945,90.7661790322,60.8390960244,60.8202575221,152.594002896,4213.35915152,242.990214395,162.469112147,141.828669601,162.469112147,0.0,242.990214395,243.325771693,142.049862642,324.499539106,122.769491039,324.106334468,91.4914948655,60.920919336,0.0,60.7183407046
2009-11-01,5.282292558,0.0251677852349,0.0260067114094,0.0293624161074,60.0982462694,120.865191218,60.6892874595,0.0,60.9094648673,727.989473956,141.035871033,282.053551542,462.658750076,120.901717417,462.658750076,141.432556849,502.189617879,0.0,221.418227262,0.0,543.223566549,60.0474590792,261.841670635,0.0,121.047675484,202.596237373,160.910855887,0.0,0.0,90.5250716579,141.084685666,121.70891866,60.0982462694,5531.83770797,382.323540557,180.676834833,201.989251884,60.7630038757,282.053551542,0.0,60.3787956891,161.201179388,80.5762941198,1090.04226087,6942.05979871,60.4751795066,1068.12391645,60.0982462694,141.08094175,402.368085555,100.536023461,60.4476282403,100.937522824,382.437490715,282.438360406,60.7710537484,60.9278221503,152.092568256,90.6810610443,180.631239749,0.0,80.759430155,60.3596534298,120.974836085,60.5057142972,100.579053054,100.705470775,60.2073835205,60.3105764803,242.036371262,60.0438258834,1958.69539903,60.484235396,0.0,60.5148196848,202.596237373,0.0,60.3656614248,60.3331128991,0.0,100.796816177,61.0750797265,1192.73097496,60.5086753709,60.4874180425,0.0,684.621207224,141.084685666,201.989251884,1068.20124479,60.3232483312,2114.36065092,785.774291653,161.019321223,60.3018602379,0.0,0.0,90.2614998081,121.06030838,2593.72610229,60.1891664604,201.702599564,59.8631342617,201.702599564,0.0,60.1891664604,161.307175164,181.721122829,201.21199616,212.216632311,201.240493755,60.5005417098,121.929139864,60.3787956891,0.0
2009-11-08,4.353680431,0.0200873362445,0.02096069869,0.0235807860262,59.1118994833,59.4695249603,0.0,0.0,59.6692613219,376.866263773,59.3065752184,158.198590511,433.864124476,0.0,433.864124476,119.263374661,493.170611561,0.0,118.351607696,58.9504670229,336.333115723,58.9116748517,217.192122452,0.0,59.8676778499,89.6800382131,78.9448977953,58.9504670229,0.0,0.0,59.4336350841,59.5309765712,0.0,3427.16230986,256.532435028,0.0,119.173078328,59.8676778499,158.198590511,0.0,0.0,98.8502441223,59.759287365,693.011269986,6474.91075729,59.2140596562,771.387139793,0.0,119.051297658,296.100056097,58.8586331277,59.2371744746,138.376568843,315.706704774,237.460552187,158.378831047,59.4712423373,148.704393433,59.604975509,78.9803074463,0.0,89.384345388,118.076710316,118.33104765,59.4159391469,89.3122339609,158.413866233,59.9401568788,59.9401568788,138.598785281,0.0,1624.60388446,79.3572499834,0.0,0.0,89.6800382131,59.0940462971,89.4299630461,59.4059448005,0.0,98.9818834412,59.5595157951,990.991434294,0.0,0.0,0.0,454.291895464,59.4336350841,119.173078328,1206.42242247,0.0,1600.28271291,652.360872603,59.723244369,58.9338515933,0.0,0.0,59.8315040264,0.0,2505.74105107,59.5775259233,79.1830054575,0.0,79.1830054575,59.0535879499,59.5775259233,89.1119087704,177.436316877,316.142620645,178.705538053,177.972937574,59.8134335027,60.0674183583,0.0,0.0
2009-11-15,3.132918682,0.0141843971631,0.0157604412924,0.0204885736801,58.2804238779,0.0,0.0,0.0,58.1925197695,528.543824744,116.930423248,117.052085085,272.320459502,0.0,272.320459502,78.2810062371,350.376721971,58.4145188902,87.5652515082,58.8165533881,233.815653028,58.337833582,175.201224176,0.0,58.7454330091,254.616657425,58.3970032923,58.8165533881,0.0,0.0,87.7135608329,88.0465776551,0.0,2774.91671259,214.058460984,0.0,117.21897526,58.4944134859,117.052085085,0.0,0.0,58.5260230297,58.6962043339,644.879320686,6448.84508573,117.605076075,585.295800645,0.0,58.6895188214,214.592982587,116.829439263,0.0,117.060199718,253.228991144,175.496228083,78.1393385437,117.575015398,117.247092202,58.6276216709,116.735449595,0.0,58.6255285912,58.5507358826,87.8370219277,58.5880808461,88.037718866,58.6431815657,58.6078862413,58.5386711293,136.578368615,0.0,1368.80870335,0.0,0.0,58.4671287841,254.616657425,58.2628218169,58.2276495732,58.407063519,0.0,58.4610029293,117.676136544,1076.27267449,58.5232029919,58.7316061459,0.0,623.799237066,87.7135608329,117.21897526,1209.44315164,0.0,1344.7341869,526.764185434,136.435546227,58.5263945986,58.0000610451,0.0,0.0,117.0105878,1420.40903529,117.566275359,117.045242763,87.8336311515,117.045242763,58.8343603979,117.566275359,234.178424813,0.0,234.176148594,58.3794981954,117.123515202,58.6962043339,117.130621368,0.0,0.0
2009-11-22,2.804333971,0.00310237849018,0.00517063081696,0.00930713547053,66.3052833846,0.0,0.0,0.0,132.575185604,555.697318784,0.0,66.4166999241,132.741443208,0.0,132.741443208,66.751301379,442.204239438,0.0,66.3075709796,133.177070527,110.363426776,0.0,154.809030707,0.0,99.5183722688,66.6581063394,99.3185511458,133.177070527,0.0,0.0,66.3876042578,0.0,0.0,1598.50206646,88.3411893561,0.0,66.7007628315,66.0832045192,66.4166999241,0.0,66.407642774,0.0,66.2624537177,243.963891795,6673.43908646,66.6086952801,354.51927405,0.0,165.936046964,243.322827618,66.3007026599,0.0,132.206146383,265.427366059,110.681055732,66.8943456024,0.0,99.5475342016,66.7906862508,287.24247413,66.548251818,66.1826675001,66.2875928021,66.5341873123,0.0,99.5285568919,66.5999728754,66.1627509586,0.0,99.6593591449,0.0,710.066883695,66.2424891339,0.0,0.0,66.6581063394,0.0,0.0,0.0,0.0,165.993596699,66.6086952801,909.706023313,0.0,0.0,66.4462350669,509.057111129,66.3876042578,66.7007628315,930.148029796,0.0,707.859594845,310.05546463,66.4268942386,88.3738446206,0.0,0.0,66.0236701007,66.9146289091,707.427968705,99.8314934098,66.3952458342,99.76469992,66.3952458342,0.0,99.8314934098,133.86984904,100.076437941,132.581716812,0.0,99.258188515,0.0,0.0,66.407642774,0.0
2009-11-29,1.416287304,0.00406834825061,0.00488201790073,0.00650935720098,0.0,58.5959883636,0.0,0.0,57.9053844554,545.854024759,116.700319674,87.8232357978,87.0208074882,0.0,87.0208074882,87.4325427383,465.517793511,0.0,58.3501598371,58.8790879382,58.2234791629,57.7314421771,116.163429566,0.0,57.7314421771,58.6064848744,0.0,58.8790879382,0.0,0.0,58.7014202015,117.936651438,57.9402987662,1188.34044235,116.471498401,0.0,0.0,58.3853954409,87.8232357978,0.0,0.0,58.7014202015,58.7014202015,331.114438076,7711.54978279,0.0,253.096169489,57.9402987662,59.0399109401,213.488625948,58.2798160639,0.0,117.405310077,213.551512676,77.9018037345,58.8790879382,0.0,77.8840082758,59.0578344104,135.966949844,0.0,58.9147506201,58.0311556286,0.0,115.741024395,58.5267644371,136.148601022,0.0,0.0,87.3693923891,0.0,506.932150638,0.0,0.0,58.3325579789,58.6064848744,0.0,116.735544642,0.0,57.7661469815,97.368199557,58.4761169455,643.430920117,0.0,0.0,0.0,485.901382626,58.7014202015,0.0,817.366254895,0.0,679.887706164,194.278043328,57.8530918144,58.0221189301,0.0,0.0,0.0,59.0757687664,621.139164856,87.4388190487,58.8256747952,57.8705121974,58.8256747952,0.0,87.4388190487,136.214407744,0.0,232.616840547,58.7112945275,58.2045591815,0.0,0.0,0.0,0.0
2009-12-06,1.106500692,0.000884173297966,0.000884173297966,0.00176834659593,0.0,0.0,0.0,58.0634727147,0.0,508.456928706,58.5105216511,97.4085752985,77.7151202309,58.7506782629,77.7151202309,59.1958940727,505.56002767,57.8022393342,58.0894483255,59.1063119085,77.9210790554,58.2376832414,194.110271144,0.0,0.0,116.407530015,58.9101823668,59.1063119085,0.0,0.0,87.1778811238,58.0975203455,58.9991705576,1131.94969649,87.8713454494,0.0,176.363347971,0.0,97.4085752985,0.0,58.167517358,58.3080186076,58.0809722544,350.993271142,11178.8477387,58.1861914071,448.469121888,58.9991705576,57.9412705773,293.038155105,58.5720852068,0.0,57.9412705773,194.453627768,146.833530124,58.0634727147,58.6979202518,97.6092194076,58.2031727002,136.227774918,0.0,59.1421122186,0.0,116.792354175,58.0285052515,0.0,97.4852024223,58.167517358,58.1594308163,87.1436323657,0.0,468.351483964,0.0,0.0,0.0,116.407530015,58.5195424875,0.0,0.0,58.4492002507,155.828528969,0.0,664.17281691,0.0,0.0,0.0,428.178633375,87.1778811238,176.363347971,1129.32346076,0.0,603.003533809,175.281387442,174.636175819,87.1163412448,0.0,0.0,0.0,0.0,583.358106114,0.0,58.0809722544,0.0,58.0809722544,0.0,0.0,58.4789009351,58.7848491923,389.115766843,115.535171427,116.300004594,0.0,0.0,58.167517358,59.0348411565
