Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.884,0.862,0.936,0.734,0.846,0.901,0.924,0.894
ARGO,,,0.857,0.916,0.955,0.824,0.885,0.912,0.926,0.909
ARGO_top10,,,0.908,0.929,0.943,0.819,0.882,0.917,0.935,0.927
ARGO_all_weighted1,,,0.873,0.926,0.929,0.767,0.8,0.896,0.924,0.909
ARGO_all_weighted2,,,0.912,0.925,0.939,0.809,0.852,0.915,0.937,0.925
ARGO_all_weighted_more_ar,,,0.896,0.925,0.928,0.776,0.793,0.901,0.933,0.916
ARGO_top10_weighted1,,,0.906,0.933,0.932,0.816,0.821,0.908,0.931,0.924
ARGO_top10_weighted2,,,0.912,0.927,0.94,0.802,0.853,0.915,0.938,0.926
ARGO_top10_weighted_more_ar,,,0.897,0.926,0.933,0.822,0.795,0.905,0.933,0.919
ARGO_obs_weight,,,0.893,0.915,0.959,0.816,0.894,0.921,0.937,0.923
ARGO_top10_obs,,,0.898,0.922,0.947,0.832,0.881,0.918,0.934,0.922
ARGO_top10_weighted2_obs,,,0.91,0.926,0.947,0.814,0.846,0.917,0.941,0.928
GFT,,,0.935,0.933,0.959,,,0.8,0.8,0.942
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.407,0.341,0.389,0.392,0.485,0.345,0.321,0.379
ARGO,,,0.485,0.276,0.332,0.315,0.457,0.327,0.316,0.364
ARGO_top10,,,0.39,0.272,0.382,0.324,0.477,0.322,0.298,0.348
ARGO_all_weighted1,,,0.436,0.289,0.408,0.362,0.543,0.355,0.324,0.378
ARGO_all_weighted2,,,0.367,0.271,0.383,0.327,0.495,0.322,0.291,0.34
ARGO_all_weighted_more_ar,,,0.389,0.266,0.412,0.352,0.555,0.346,0.305,0.356
ARGO_top10_weighted1,,,0.4,0.283,0.413,0.326,0.526,0.34,0.312,0.365
ARGO_top10_weighted2,,,0.372,0.266,0.382,0.335,0.493,0.323,0.292,0.34
ARGO_top10_weighted_more_ar,,,0.386,0.268,0.409,0.319,0.553,0.34,0.303,0.354
ARGO_obs_weight,,,0.435,0.278,0.312,0.326,0.445,0.314,0.294,0.341
ARGO_top10_obs,,,0.421,0.276,0.36,0.308,0.484,0.324,0.302,0.352
ARGO_top10_weighted2_obs,,,0.379,0.265,0.36,0.321,0.513,0.322,0.287,0.335
GFT,,,2.903,0.523,0.321,,,1.405,1.405,1.249
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.214,0.28,0.238,0.552,0.278,0.353,0.289,0.244
ARGO,,,0.255,0.288,0.207,0.337,0.473,0.356,0.283,0.25
ARGO_top10,,,0.239,0.285,0.22,0.317,0.482,0.356,0.278,0.248
ARGO_all_weighted1,,,0.284,0.324,0.23,0.381,0.42,0.381,0.31,0.279
ARGO_all_weighted2,,,0.243,0.289,0.236,0.318,0.412,0.349,0.282,0.256
ARGO_all_weighted_more_ar,,,0.267,0.26,0.227,0.414,0.353,0.36,0.282,0.251
ARGO_top10_weighted1,,,0.266,0.299,0.233,0.307,0.41,0.353,0.287,0.266
ARGO_top10_weighted2,,,0.249,0.277,0.234,0.322,0.41,0.349,0.281,0.253
ARGO_top10_weighted_more_ar,,,0.259,0.262,0.226,0.302,0.356,0.333,0.276,0.249
ARGO_obs_weight,,,0.259,0.279,0.215,0.349,0.428,0.352,0.282,0.251
ARGO_top10_obs,,,0.231,0.285,0.225,0.309,0.451,0.348,0.272,0.247
ARGO_top10_weighted2_obs,,,0.233,0.272,0.226,0.31,0.41,0.338,0.273,0.244
GFT,,,1.442,0.311,0.243,,,0.672,0.672,0.665
