Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.935,0.933,0.959,,,0.8,0.8,0.942
AR52,,,0.884,0.862,0.936,0.734,0.846,0.901,0.924,0.894
ARGO,,,0.91,0.926,0.947,0.814,0.846,0.917,0.941,0.928
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,2.903,0.523,0.321,,,1.405,1.405,1.249
AR52,,,0.407,0.341,0.389,0.392,0.485,0.345,0.321,0.379
ARGO,,,0.379,0.265,0.36,0.321,0.513,0.322,0.287,0.335
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.442,0.311,0.243,,,0.672,0.672,0.665
AR52,,,0.214,0.28,0.238,0.552,0.278,0.353,0.289,0.244
ARGO,,,0.233,0.272,0.226,0.31,0.41,0.338,0.273,0.244
