Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.959,,,0.962,0.962,0.962
AR52,0.936,0.734,0.846,0.899,0.945,0.872
ARGO(gt),0.932,0.796,0.874,0.894,0.94,0.884
"ARGO(gt,ath)",0.952,0.801,0.871,0.919,0.959,0.895
Net,0.957,0.737,0.758,0.888,0.963,0.823
ARGONet,0.967,0.798,0.823,0.913,0.972,0.868
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.321,,,0.322,0.322,0.322
AR52,0.389,0.392,0.485,0.368,0.343,0.426
ARGO(gt),0.414,0.34,0.521,0.377,0.367,0.449
"ARGO(gt,ath)",0.329,0.335,0.455,0.33,0.292,0.393
Net,0.303,0.386,0.596,0.384,0.269,0.49
ARGONet,0.276,0.339,0.519,0.339,0.243,0.429
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.243,,,0.371,0.371,0.371
AR52,0.238,0.552,0.278,0.389,0.248,0.334
ARGO(gt),0.254,0.378,0.43,0.414,0.275,0.422
"ARGO(gt,ath)",0.2,0.337,0.417,0.353,0.214,0.385
Net,0.185,0.481,0.48,0.361,0.197,0.421
ARGONet,0.177,0.36,0.36,0.309,0.181,0.335
