Week,WI,athena_flu,athena_ILI,athena_viral,thermoscan,how long is the flu contagious,influenza b symptoms,sinus infection cure,strep,signs of flu,flu fever,flu how long,how long flu,upper respiratory,strep throat,how long does flu last,cold or flu,expectorant,how long contagious,how to get rid of the flu,influenza a treatment,is influenza contagious,contagious flu,rsv in adults,influenza a symptoms,fever cough,oscillococcinum,flu symptoms,cold and flu,acute bronchitis,fever flu,what to eat when you have the flu,type a flu,tamiflu side effects,flu shot symptoms,symptoms of flu,cold,cough and fever,flu shots,influenza type a,high fever,symptoms of rsv,flu cold,flu remedies,influenza treatment,flu treatment,body temperature,flu incubation period,symptoms of bronchitis,robitussin,rsv treatment,influenza symptoms,tamiflu dosage,walking pneumonia,how to treat the flu,influenza a and b,incubation period for flu,clarithromycin,the flu virus,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,chest cold,rsv infection,flu contagious,symptoms of influenza,symptoms of influenza b,is the flu contagious,what is influenza,rsv,tussionex,pneumonia,is rsv contagious,signs of the flu,influenza incubation period,how long are you contagious with the flu,fever reducer,bronchitis,cough fever,flu and cold,sinus,how to break a fever,what is influenza b,the flu,what is influenza a,flu a,normal body temperature,how long does influenza last,gripe,rsv symptoms,oseltamivir,how long is flu contagious,flu vaccine,cold vs flu,respiratory flu,a influenza,human temperature,influenza a,influenza b,flu vs cold,normal body,flu medicine,cold symptoms,stomach flu symptoms,how long is rsv contagious,symptoms of the flu,early flu symptoms,flu headache,what is rsv,incubation period for influenza
2009-10-04,4.663367821,,,,102.160535334,0.0,0.0,0.0,608.538481368,101.168540137,168.692093033,337.904170371,337.904170371,102.098862811,472.176755234,236.042271382,152.184978678,102.068054463,202.418734479,0.0,0.0,0.0,134.914775625,0.0,0.0,100.919001752,100.771783917,3132.84764686,101.307609648,0.0,168.692093033,0.0,0.0,100.979869666,201.421936229,844.378291294,7083.00866306,0.0,1114.82796219,0.0,202.586567207,0.0,236.33834054,204.506367891,0.0,304.381611058,152.604153847,270.064287115,101.071309331,151.757016595,0.0,202.295974741,0.0,151.924656596,0.0,0.0,100.738886319,100.979869666,102.253183946,0.0,0.0,152.184609052,0.0,101.132361163,202.525657534,0.0,2899.02971086,100.724101102,0.0,134.914775625,100.888595304,0.0,0.0,100.979869666,168.641797367,100.166911264,878.918384255,0.0,100.814787371,0.0,0.0,0.0,506.004017569,100.919001752,101.307609648,1011.58307511,0.0,0.0,2495.0837482,100.979869666,676.481827746,100.650225673,0.0,101.05859585,0.0,0.0,100.559249271,2464.92495419,152.353986124,0.0,236.398658646,102.068054463,236.398658646,0.0,152.353986124,135.179971784,151.955332461,202.489219043,100.919001752,0.0,269.900746372,101.308603074,101.293504558,0.0,0.0
2009-10-11,5.526189332,,,,100.16625731,100.16625731,0.0,100.303680148,669.305704666,150.314731139,267.004806576,601.697470437,601.697470437,150.625104397,468.134606689,300.327267283,150.171085794,100.045611412,100.099038994,0.0,0.0,0.0,250.383464948,0.0,0.0,100.250264637,0.0,5968.10479301,150.058529044,0.0,267.004806576,0.0,100.212825365,100.091941378,100.25693286,1671.15770356,8379.80306345,0.0,1638.67291805,0.0,300.499626195,0.0,567.702415674,100.378089274,0.0,133.834864519,401.787704396,266.883970742,100.499538868,100.030793001,0.0,100.122135025,100.166542065,150.314731139,100.114211839,0.0,200.454851591,0.0,200.349261263,0.0,200.047094309,250.640402576,0.0,100.280377865,267.367282847,0.0,2769.26029198,100.317474486,0.0,250.383464948,100.001469602,0.0,0.0,0.0,100.212619251,0.0,1639.81325154,0.0,0.0,0.0,0.0,0.0,734.492469948,100.250264637,150.058529044,1501.59385175,0.0,0.0,2903.10962161,0.0,837.04780426,100.131500012,0.0,100.560540566,0.0,150.118394542,100.348003192,1838.39052867,100.293118716,0.0,233.976120269,200.574886283,233.976120269,100.317474486,100.293118716,267.589380729,150.163642734,367.206026756,200.635428054,0.0,233.774485919,100.25693286,100.015495334,0.0,0.0
2009-10-18,8.418069678,,,,0.0,99.6972168498,0.0,0.0,962.062110418,247.822750192,430.002908347,861.182705011,861.182705011,99.2488574255,530.501471269,247.658305055,148.933282432,0.0,165.385954026,0.0,99.6122702814,0.0,198.578947162,0.0,0.0,165.596061787,149.440777193,8923.86926506,264.736116636,0.0,430.002908347,0.0,99.8227399138,231.801747363,198.708618903,2021.9670555,7712.12351963,149.068330817,1922.28367601,0.0,165.465726608,0.0,562.564494078,0.0,0.0,398.118174641,398.098094054,463.215697779,165.805789567,132.233114538,0.0,165.505706075,99.6619955579,132.492506944,99.4219907522,0.0,330.951749752,99.6018857897,99.3435313365,0.0,198.439265305,397.647220148,0.0,297.71650625,349.151099394,0.0,3507.61086766,99.8528796299,0.0,198.578947162,0.0,0.0,0.0,0.0,132.343530825,99.2929304462,1692.08238452,0.0,99.5718580883,99.0495558586,99.4219907522,99.3728177086,893.664834306,165.596061787,264.736116636,1256.7942995,99.4219907522,0.0,2878.14626034,0.0,1327.50976042,198.267710918,0.0,149.023308719,0.0,99.1338554591,0.0,2948.91174465,149.907976765,98.5420686827,430.950625236,99.6619955579,430.950625236,99.2086757413,149.907976765,248.55449882,149.606019828,430.191095707,99.1141709764,0.0,331.081283243,0.0,99.0993139918,0.0,0.0
2009-10-25,7.566346697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1111.21782834,352.656329815,403.245497596,706.043822911,706.043822911,134.621264632,807.170276014,369.394085457,100.866499594,100.907637321,100.709817121,0.0,0.0,0.0,302.200370698,0.0,0.0,100.55195109,134.408242831,7177.63436446,167.803213209,0.0,403.245497596,0.0,0.0,302.142992676,100.703613158,1748.73970062,7221.7535811,100.947226374,1480.42848761,100.422212728,201.367963084,0.0,504.07711827,101.157627575,0.0,235.696548766,370.480577643,469.90361262,100.816263065,167.772242796,0.0,100.822567683,201.571683485,151.396403273,100.543130504,100.816263065,134.367562772,0.0,151.171064217,0.0,151.189945333,302.686836645,100.790337127,168.21801724,302.494782851,0.0,3424.36210115,100.623794514,0.0,302.200370698,100.634010104,0.0,0.0,202.560040698,151.518350085,200.904829795,1650.16090517,0.0,202.010103936,0.0,0.0,0.0,772.547380767,100.55195109,167.803213209,1544.17713913,0.0,0.0,3492.04614128,0.0,1313.96061742,201.27688757,0.0,168.482620589,0.0,151.17476563,0.0,2891.83721194,100.912906721,0.0,201.804831556,201.519828894,201.804831556,100.938132225,100.912906721,336.263939613,100.694687831,335.797289224,100.852935926,0.0,537.520797111,151.250819936,100.793525913,0.0,0.0
2009-11-01,7.112511991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.951809125,100.87632287,269.046018993,437.725240012,437.725240012,302.811881254,707.411292626,134.441519686,201.630851206,101.098097306,369.574967894,0.0,0.0,0.0,201.758674178,0.0,0.0,101.041174554,101.412759971,5103.52175838,151.100066383,0.0,269.046018993,0.0,100.845865043,168.191318556,100.724217438,1582.75180233,7363.30320382,0.0,640.001975131,100.549722473,201.509203634,0.0,369.940748102,100.883875629,100.368388437,151.830571714,337.206651408,303.111391585,100.910692215,302.258234299,0.0,101.006568983,202.336489152,235.457843848,0.0,0.0,201.448434875,0.0,168.141269868,0.0,302.802511477,100.996041766,100.853406322,0.0,336.221106611,0.0,2083.09256283,101.382130928,0.0,201.758674178,0.0,0.0,0.0,0.0,100.910692215,100.451580458,1415.53286687,0.0,0.0,0.0,0.0,100.99833838,739.626188988,101.041174554,151.100066383,1612.32927817,0.0,0.0,2184.45978684,0.0,876.773051832,168.079774831,0.0,100.937293751,0.0,101.168244576,100.979947706,2188.29900146,202.195354727,0.0,100.84969129,100.84969129,100.84969129,0.0,202.195354727,201.98243073,151.523221185,336.230755079,100.854016242,0.0,235.386809528,100.76210873,100.602862959,0.0,0.0
2009-11-08,4.50250139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.50783566,99.1151704115,249.284355429,299.322177581,299.322177581,133.039693597,764.805926405,100.290512004,99.0553363213,99.7739376421,232.215517026,0.0,0.0,0.0,298.179472941,0.0,0.0,300.690288098,0.0,3281.58603998,0.0,99.563552562,249.284355429,99.423104365,0.0,99.9754966992,0.0,930.326216833,7437.0712092,100.624106087,598.603684862,0.0,132.808913306,0.0,199.08381391,98.9358846043,0.0,149.84192975,366.007398796,249.32955645,0.0,165.801204117,0.0,99.1788947674,100.290512004,199.253581142,0.0,0.0,99.6986660582,99.3632289634,0.0,99.3632289634,165.881113264,148.992769604,0.0,99.1151704115,299.097087195,99.6031643186,995.197949549,0.0,0.0,298.179472941,0.0,0.0,99.5731090488,99.8140603108,99.5488561563,98.6978433782,1730.70227013,0.0,98.9358846043,0.0,0.0,99.2350557098,796.683550046,300.690288098,0.0,1393.45630003,0.0,0.0,1161.32755673,99.423104365,565.723167338,98.9060666764,0.0,99.7838776497,0.0,0.0,99.423104365,863.800957357,99.9047179496,0.0,200.132245284,0.0,200.132245284,0.0,99.9047179496,99.4337248007,198.567199295,199.233501207,99.3931576469,0.0,99.2985225763,148.947783864,0.0,0.0,0.0
2009-11-15,3.910711196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,898.867680394,132.716094874,132.716094874,349.023597164,349.023597164,149.851153629,665.072959293,248.479847674,99.6296904022,99.5660298611,132.725673501,0.0,0.0,0.0,0.0,0.0,0.0,250.053561891,0.0,1723.92710711,0.0,99.8586932561,132.716094874,0.0,0.0,132.88581309,0.0,565.590015138,6641.75774567,100.134058299,399.431005351,0.0,199.288654554,0.0,232.661382247,100.194562262,99.4287879908,99.3687464522,199.403037907,199.219115488,198.677505735,99.4843653316,0.0,99.569636241,0.0,132.926020321,0.0,0.0,0.0,0.0,0.0,99.8243056629,199.139163918,166.26777921,0.0,149.333972847,99.7651070577,0.0,1128.64042654,98.9504775254,0.0,0.0,99.1591709098,0.0,0.0,100.315789802,249.121025617,248.480136134,1331.24850407,0.0,99.2189593758,0.0,0.0,0.0,796.874419312,250.053561891,0.0,1194.79344127,0.0,0.0,1028.92402326,0.0,499.376996867,99.5995818494,0.0,0.0,99.6136423709,0.0,99.9228686611,1330.26513492,0.0,0.0,100.22484167,99.7650524717,100.22484167,0.0,0.0,149.806072811,300.402174897,265.671597974,199.785542823,0.0,99.8131404198,0.0,0.0,0.0,0.0
2009-11-22,1.704834606,0.0,0.0,0.0,115.574175703,0.0,0.0,115.539343221,732.813472508,231.049719171,115.524859586,154.187350583,154.187350583,115.958723777,308.223401022,115.539343221,0.0,230.84164176,115.323240844,0.0,0.0,0.0,173.245934165,0.0,114.934692272,173.394548397,0.0,1805.86640996,0.0,0.0,115.524859586,0.0,0.0,115.385607301,0.0,192.553807967,6886.51777246,115.654400457,192.681664396,0.0,115.455224348,0.0,230.730990554,115.818592388,0.0,115.351122317,269.961225821,0.0,115.958723777,230.423855625,0.0,115.434971637,0.0,231.049719171,0.0,0.0,0.0,115.434971637,115.340972872,0.0,115.574175703,345.844523639,0.0,115.783612445,153.989503589,0.0,422.8359261,115.748653625,0.0,173.245934165,115.574175703,0.0,0.0,0.0,173.39429587,115.053883795,925.611329259,0.0,0.0,0.0,0.0,115.445835063,538.759265653,173.394548397,0.0,1191.91413505,0.0,0.0,807.686390527,0.0,269.961317688,115.609029194,0.0,115.455701757,0.0,115.073167805,0.0,654.591689665,0.0,0.0,230.563015759,115.853593474,230.563015759,173.139556076,0.0,230.771256589,0.0,173.150141299,115.142530776,0.0,115.350878844,115.4204382,231.328764726,0.0,0.0
2009-11-29,1.506622517,0.0,0.0,0.0,0.0,0.0,0.0,95.910149997,1054.6935812,95.0925673142,237.831726901,95.6499958831,95.6499958831,95.910149997,702.351673891,95.6788321797,94.5122768449,96.3075756279,96.5925747487,0.0,0.0,0.0,96.6508156741,0.0,0.0,0.0,0.0,1209.44327407,95.3625860397,96.5053448498,237.831726901,0.0,0.0,0.0,0.0,191.530627588,7428.01513133,0.0,223.463045804,0.0,95.5987187383,0.0,159.510786145,0.0,96.4532315282,96.3949339216,383.484529125,159.117363563,0.0,127.36622161,0.0,96.2203843639,0.0,283.622284673,0.0,0.0,0.0,95.5988490709,95.0924550248,96.8552131695,192.151000623,95.2500524456,191.530890972,94.7406363178,191.51104036,0.0,924.217418964,94.7120310532,0.0,96.6508156741,0.0,0.0,0.0,0.0,96.3892831001,143.21171143,1150.70475868,0.0,94.6263188079,0.0,0.0,0.0,605.916151172,0.0,95.3625860397,1210.53748017,0.0,0.0,732.859230629,0.0,415.640110792,94.5977825236,0.0,96.4531874302,0.0,96.1044299856,0.0,861.09204558,0.0,0.0,95.7654454859,0.0,95.7654454859,96.6508156741,0.0,95.772262927,0.0,223.202972869,96.767508479,0.0,0.0,0.0,95.5923754037,0.0,0.0
2009-12-06,1.17820324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,769.332627426,96.6729739624,95.9167815481,191.3924748,191.3924748,95.7057743696,544.596721854,95.5615522865,0.0,0.0,127.824449267,0.0,0.0,0.0,95.5903619194,0.0,0.0,0.0,0.0,862.38286953,97.0231326366,0.0,95.9167815481,0.0,0.0,95.6480333293,96.1528818903,288.213902352,9146.68992041,95.6142131754,224.204749644,0.0,95.5615522865,0.0,319.822708608,0.0,0.0,190.881998042,193.098760475,0.0,95.5587571889,144.055487102,0.0,96.7894123532,0.0,190.939648902,0.0,0.0,0.0,0.0,96.4473217547,0.0,95.3860432433,288.203195552,97.08173918,0.0,144.365729773,0.0,383.483484491,96.0374185923,0.0,95.5903619194,0.0,0.0,0.0,191.065520028,159.955220721,95.6191889284,993.750236177,0.0,96.9645968099,0.0,0.0,0.0,511.789386073,0.0,97.0231326366,1406.46752811,0.0,0.0,575.296675855,95.532760014,352.822486763,0.0,0.0,95.7321676323,0.0,0.0,0.0,224.040419915,194.633750182,0.0,194.280833137,194.280833137,194.280833137,97.0524270607,194.633750182,0.0,0.0,255.976828281,127.872686351,0.0,144.351191585,0.0,0.0,0.0,0.0
