Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.893,0.642,0.813,0.618,0.866,0.888,0.899,0.783
ARGO,,,0.911,0.615,0.851,0.608,0.872,0.885,0.892,0.792
ARGO_top10,,,0.932,0.601,0.854,0.635,0.885,0.898,0.905,0.796
ARGO_all_weighted1,,,0.948,0.494,0.864,0.619,0.847,0.872,0.881,0.769
ARGO_all_weighted2,,,0.931,0.591,0.86,0.714,0.879,0.895,0.9,0.794
ARGO_all_weighted_more_ar,,,0.942,0.574,0.86,0.737,0.847,0.897,0.905,0.792
ARGO_top10_weighted1,,,0.956,0.51,0.857,0.654,0.833,0.873,0.884,0.775
ARGO_top10_weighted2,,,0.928,0.616,0.86,0.711,0.877,0.896,0.903,0.801
ARGO_top10_weighted_more_ar,,,0.942,0.6,0.859,0.733,0.857,0.898,0.907,0.8
ARGO_obs_weight,,,0.931,0.66,0.863,0.64,0.868,0.895,0.903,0.818
ARGO_top10_obs,,,0.936,0.602,0.864,0.663,0.882,0.9,0.908,0.8
ARGO_top10_weighted2_obs,,,0.937,0.648,0.868,0.72,0.874,0.901,0.909,0.818
GFT,,,0.922,0.557,0.91,,,0.655,0.655,0.796
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.532,0.499,0.801,0.383,0.428,0.506,0.545,0.611
ARGO,,,0.502,0.628,0.802,0.42,0.437,0.52,0.571,0.644
ARGO_top10,,,0.428,0.592,0.775,0.385,0.418,0.49,0.534,0.598
ARGO_all_weighted1,,,0.384,0.802,0.848,0.418,0.514,0.559,0.613,0.678
ARGO_all_weighted2,,,0.443,0.657,0.803,0.356,0.434,0.505,0.558,0.634
ARGO_all_weighted_more_ar,,,0.407,0.63,0.809,0.342,0.462,0.5,0.546,0.615
ARGO_top10_weighted1,,,0.361,0.788,0.862,0.398,0.518,0.554,0.606,0.67
ARGO_top10_weighted2,,,0.455,0.627,0.804,0.356,0.433,0.501,0.551,0.629
ARGO_top10_weighted_more_ar,,,0.412,0.605,0.816,0.344,0.448,0.496,0.542,0.611
ARGO_obs_weight,,,0.45,0.587,0.796,0.403,0.451,0.505,0.548,0.611
ARGO_top10_obs,,,0.427,0.57,0.798,0.372,0.421,0.491,0.537,0.598
ARGO_top10_weighted2_obs,,,0.435,0.576,0.818,0.35,0.435,0.495,0.542,0.61
GFT,,,2.98,0.958,1.21,,,1.586,1.586,1.716
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.293,0.232,0.221,0.177,0.251,0.5,0.468,0.248
ARGO,,,0.55,0.256,0.261,0.183,0.265,0.538,0.569,0.356
ARGO_top10,,,0.341,0.278,0.225,0.161,0.253,0.497,0.481,0.281
ARGO_all_weighted1,,,0.371,0.37,0.277,0.169,0.283,0.536,0.538,0.339
ARGO_all_weighted2,,,0.334,0.31,0.234,0.152,0.246,0.468,0.451,0.293
ARGO_all_weighted_more_ar,,,0.306,0.3,0.24,0.144,0.27,0.471,0.448,0.282
ARGO_top10_weighted1,,,0.341,0.369,0.258,0.166,0.298,0.525,0.498,0.323
ARGO_top10_weighted2,,,0.33,0.303,0.236,0.151,0.254,0.468,0.443,0.289
ARGO_top10_weighted_more_ar,,,0.315,0.297,0.237,0.146,0.256,0.471,0.451,0.283
ARGO_obs_weight,,,0.428,0.258,0.246,0.18,0.264,0.509,0.525,0.311
ARGO_top10_obs,,,0.345,0.276,0.221,0.156,0.246,0.49,0.485,0.281
ARGO_top10_weighted2_obs,,,0.323,0.291,0.231,0.149,0.246,0.468,0.449,0.282
GFT,,,1.462,0.493,0.467,,,0.715,0.715,0.807
