Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,0.922,0.557,0.91,,,0.655,0.655,0.796
AR52,,,0.893,0.642,0.813,0.618,0.866,0.888,0.899,0.783
ARGO,,,0.931,0.66,0.863,0.64,0.868,0.895,0.903,0.818
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,2.98,0.958,1.21,,,1.586,1.586,1.716
AR52,,,0.532,0.499,0.801,0.383,0.428,0.506,0.545,0.611
ARGO,,,0.45,0.587,0.796,0.403,0.451,0.505,0.548,0.611
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFT,,,1.462,0.493,0.467,,,0.715,0.715,0.807
AR52,,,0.293,0.232,0.221,0.177,0.251,0.5,0.468,0.248
ARGO,,,0.428,0.258,0.246,0.18,0.264,0.509,0.525,0.311
