Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.91,,,0.897,0.897,0.897
AR52,0.813,0.618,0.866,0.883,0.892,0.875
ARGO(gt),0.87,0.419,0.849,0.886,0.909,0.867
"ARGO(gt,ath)",0.863,0.64,0.868,0.894,0.904,0.881
Net,0.873,0.731,0.876,0.901,0.912,0.888
ARGONet,0.868,0.696,0.895,0.898,0.904,0.897
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.21,,,1.044,1.044,1.044
AR52,0.801,0.383,0.428,0.537,0.699,0.483
ARGO(gt),0.748,0.497,0.48,0.544,0.661,0.512
"ARGO(gt,ath)",0.796,0.403,0.451,0.532,0.701,0.492
Net,0.745,0.376,0.421,0.504,0.652,0.463
ARGONet,0.794,0.38,0.402,0.521,0.7,0.462
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.467,,,0.453,0.453,0.453
AR52,0.221,0.177,0.251,0.493,0.376,0.372
ARGO(gt),0.234,0.223,0.289,0.469,0.403,0.379
"ARGO(gt,ath)",0.246,0.18,0.264,0.464,0.424,0.364
Net,0.26,0.155,0.224,0.424,0.405,0.324
ARGONet,0.256,0.167,0.216,0.437,0.444,0.327
