Week,WV,athena_flu,athena_ILI,athena_viral,how long is the flu contagious,strep,flu fever,flu how long,how long flu,upper respiratory,strep throat,expectorant,rsv in adults,influenza a symptoms,flu symptoms,cold and flu,acute bronchitis,fever flu,type a flu,tamiflu side effects,symptoms of flu,cold,type b flu,flu shots,high fever,body temperature,symptoms of bronchitis,robitussin,tamiflu dosage,walking pneumonia,incubation period for flu,clarithromycin,tessalon,symptoms of pneumonia,stomach flu,tussin,how long does the flu last,flu virus,rsv baby,flu shot,rsv infection,rsv,pneumonia,signs of the flu,how long are you contagious with the flu,flu a symptoms,bronchitis,cough fever,flu and cold,sinus,how to break a fever,the flu,flu a,normal body temperature,gripe,rsv symptoms,oseltamivir,flu vaccine,influenza a,influenza b,flu medicine,cold symptoms,symptoms of the flu,flu type a,what is rsv
2009-10-04,3.880302532,0.159420289855,0.159420289855,0.184265010352,0.0,1057.71568576,796.547187809,795.34467092,795.34467092,0.0,795.284357247,0.0,0.0,0.0,11907.3358405,0.0,0.0,796.547187809,0.0,812.824618436,3930.83212412,6889.51455945,0.0,1323.74318338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,812.335112493,0.0,0.0,0.0,0.0,0.0,785.857326703,0.0,5837.40473146,0.0,776.571295331,2382.40670656,777.976854237,0.0,1591.16976749,2385.36490747,0.0,0.0,2440.67995349,0.0,3977.46173332,2117.42819001,0.0,776.805202348,0.0,793.428177737,4779.05610816,795.34467092,0.0,0.0,803.37557786,2386.03401276,0.0,0.0
2009-10-11,6.78555506,0.245967741935,0.245967741935,0.290322580645,0.0,2386.45989017,0.0,1981.87305934,1981.87305934,0.0,1195.63486524,0.0,0.0,0.0,11907.2208846,0.0,0.0,0.0,0.0,0.0,2917.05920578,7157.51525661,0.0,1982.1063722,0.0,1325.79201525,797.529144335,0.0,789.474060372,793.200605756,1597.28903827,797.769726279,0.0,0.0,0.0,0.0,0.0,1191.24221809,0.0,4246.69216914,0.0,796.328407894,1588.79866231,799.127229631,0.0,1591.03621679,1591.69825014,0.0,0.0,2124.66806011,0.0,5039.17912076,2916.75472625,798.644519133,0.0,0.0,0.0,4245.81130064,795.919203759,797.769726279,798.733507283,798.733507283,0.0,0.0,0.0
2009-10-18,12.4956309,0.307385229541,0.307385229541,0.331337325349,0.0,1318.54389345,0.0,1849.40067739,1849.40067739,0.0,1320.85411038,0.0,0.0,0.0,12132.8756619,795.723458075,0.0,0.0,0.0,793.07518881,4491.18067744,7131.53762433,798.136203551,3168.17114017,792.356823603,1591.03072472,0.0,0.0,792.600561339,791.639758604,792.157590902,0.0,791.23053279,792.720253164,0.0,0.0,794.157425991,1188.83317903,0.0,3172.64904819,0.0,792.608611656,3168.25698195,793.07518881,0.0,792.59613403,1320.21427369,793.086230585,795.723458075,1584.18722797,0.0,9508.97282472,1980.05335821,792.516682309,0.0,795.242658402,0.0,6350.5610488,0.0,0.0,0.0,1320.29590204,792.125393577,0.0,0.0
2009-10-25,14.49801279,0.317848410758,0.317848410758,0.332518337408,0.0,1558.90949319,1172.89777787,783.314724959,783.314724959,0.0,2079.85734108,0.0,0.0,0.0,12731.7468854,0.0,0.0,1172.89777787,775.109975865,775.825722675,4164.72277055,7287.0957686,0.0,1816.8821088,0.0,787.297259092,0.0,782.79660404,0.0,0.0,0.0,0.0,0.0,0.0,780.54725829,0.0,0.0,788.722231506,0.0,2603.6242922,0.0,0.0,1560.16232487,0.0,0.0,1165.14364219,788.484377999,772.774603838,0.0,1553.7590328,0.0,6770.5790896,2861.67323149,0.0,0.0,0.0,0.0,5730.70526732,782.441111227,0.0,774.64177292,780.311656944,1040.16266224,775.109975865,0.0
2009-11-01,10.74883827,0.260869565217,0.260869565217,0.266304347826,0.0,1516.0552793,767.323703403,1143.39871688,1143.39871688,759.171314425,0.0,0.0,0.0,0.0,7113.10715931,0.0,0.0,767.323703403,0.0,758.027639652,2034.85510342,6103.50381026,0.0,762.995606031,0.0,761.78005012,0.0,0.0,0.0,1144.08481238,0.0,763.231417076,0.0,762.761181774,769.408822162,0.0,0.0,1524.62094838,0.0,2545.03359371,0.0,0.0,2287.90856671,763.692723463,0.0,1526.46283415,766.861877521,0.0,0.0,3055.35678909,0.0,3563.62441143,1898.80947542,0.0,0.0,0.0,758.792107571,3823.11887296,0.0,0.0,760.475239825,0.0,0.0,0.0,0.0
2009-11-08,8.812346231,0.203836930456,0.203836930456,0.218225419664,0.0,777.104729138,761.18605833,766.786684862,766.786684862,781.103323164,1164.95700507,0.0,0.0,0.0,3854.25300353,0.0,0.0,761.18605833,0.0,0.0,1159.07969608,7213.09906559,0.0,777.927218721,762.793874386,781.573725647,0.0,0.0,0.0,0.0,0.0,762.563770653,783.224605574,783.224605574,0.0,0.0,0.0,782.988338725,0.0,2321.32471422,0.0,783.461015054,1942.52782564,0.0,0.0,0.0,1928.57958539,0.0,0.0,1947.10821836,0.0,2574.19896542,1540.73981604,0.0,0.0,0.0,0.0,2580.48560751,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-15,5.961633868,0.161879895561,0.161879895561,0.180156657963,0.0,1852.07051337,734.555224194,736.328976622,736.328976622,0.0,1859.23991605,0.0,0.0,0.0,2728.40825872,0.0,0.0,734.555224194,0.0,0.0,1113.94489264,6704.15273767,0.0,733.23050783,736.106789242,749.207553883,0.0,736.551298173,0.0,747.913492403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.899199911,0.0,740.616314204,2977.72207427,0.0,0.0,735.441030916,1113.94288831,0.0,0.0,1861.81165409,0.0,1491.11776395,1114.62204534,0.0,748.756631491,0.0,0.0,1991.09824135,0.0,0.0,0.0,749.94525257,0.0,0.0,0.0
2009-11-22,4.550526968,0.157480314961,0.157480314961,0.177165354331,0.0,1060.75202757,0.0,0.0,0.0,1059.47516687,0.0,0.0,0.0,0.0,1395.40006547,0.0,0.0,0.0,0.0,0.0,0.0,5590.23593262,0.0,1039.86937473,0.0,0.0,0.0,0.0,1036.5295108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.58768855,0.0,0.0,2073.05902159,0.0,0.0,1063.31500438,2123.42338933,0.0,0.0,1562.85615729,0.0,1744.17931865,1047.26597986,0.0,0.0,0.0,0.0,1050.71931958,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009-11-29,1.776973824,0.0952380952381,0.0952380952381,0.114845938375,0.0,1218.51201853,0.0,0.0,0.0,0.0,1467.43640818,0.0,0.0,0.0,732.750868818,0.0,0.0,0.0,0.0,0.0,733.125142892,6594.9340687,0.0,0.0,734.587581619,733.201980055,0.0,1472.73248809,0.0,0.0,0.0,0.0,0.0,731.801015602,0.0,0.0,732.462480817,0.0,0.0,0.0,0.0,732.532818709,1220.27308808,0.0,0.0,0.0,734.232248212,0.0,0.0,1957.89733914,0.0,1098.02405663,732.28586074,730.552650407,0.0,0.0,0.0,1100.67605909,0.0,0.0,0.0,733.78900508,0.0,0.0,0.0
2009-12-06,2.53845428,0.0679886685552,0.0679886685552,0.0821529745042,0.0,718.694340642,0.0,0.0,0.0,0.0,1075.14751296,0.0,0.0,0.0,723.906919594,0.0,0.0,0.0,0.0,0.0,716.475524013,9838.88156103,0.0,0.0,718.78526617,726.969686857,0.0,717.557486447,0.0,0.0,0.0,715.39681952,0.0,0.0,719.219577509,0.0,0.0,717.629037513,0.0,960.405276823,0.0,718.56830714,1199.21896506,0.0,0.0,0.0,717.557486447,0.0,0.0,1441.87556385,0.0,960.770945791,720.825998653,0.0,0.0,0.0,0.0,1083.14066115,0.0,0.0,0.0,721.441866659,0.0,0.0,0.0
