Metric,10.11,11.12,12.13,13.14,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.907,0.913,0.934,0.626,,0.932,0.944,0.918
ARGO,,,0.937,0.944,0.97,0.834,,0.943,0.949,0.95
ARGO_top10,,,0.943,0.961,0.98,0.842,,0.953,0.959,0.961
ARGO_all_weighted1,,,0.915,0.959,0.977,0.828,,0.931,0.938,0.95
ARGO_all_weighted2,,,0.931,0.962,0.978,0.84,,0.946,0.952,0.957
ARGO_all_weighted_more_ar,,,0.906,0.964,0.986,0.83,,0.95,0.956,0.952
ARGO_top10_weighted1,,,0.921,0.969,0.976,0.834,,0.939,0.946,0.955
ARGO_top10_weighted2,,,0.95,0.97,0.984,0.837,,0.958,0.964,0.968
ARGO_top10_weighted_more_ar,,,0.917,0.964,0.986,0.831,,0.951,0.958,0.956
ARGO_obs_weight,,,0.946,0.939,0.975,0.829,,0.951,0.956,0.953
ARGO_top10_obs,,,0.942,0.958,0.977,0.82,,0.954,0.96,0.959
ARGO_top10_weighted2_obs,,,0.952,0.967,0.982,0.826,,0.961,0.968,0.967
GFT,,,0.974,0.929,0.96,,,0.815,0.815,0.954
RMSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.625,0.454,0.777,0.536,,0.514,0.521,0.619
ARGO,,,0.683,0.399,0.668,0.426,,0.475,0.496,0.583
ARGO_top10,,,0.645,0.387,0.561,0.427,,0.436,0.447,0.531
ARGO_all_weighted1,,,0.833,0.386,0.678,0.511,,0.527,0.542,0.632
ARGO_all_weighted2,,,0.752,0.341,0.582,0.454,,0.467,0.48,0.558
ARGO_all_weighted_more_ar,,,0.747,0.332,0.519,0.444,,0.449,0.461,0.533
ARGO_top10_weighted1,,,0.779,0.379,0.631,0.48,,0.495,0.51,0.597
ARGO_top10_weighted2,,,0.67,0.359,0.457,0.459,,0.421,0.422,0.495
ARGO_top10_weighted_more_ar,,,0.73,0.361,0.494,0.446,,0.443,0.453,0.528
ARGO_obs_weight,,,0.632,0.406,0.593,0.431,,0.445,0.458,0.543
ARGO_top10_obs,,,0.619,0.373,0.567,0.438,,0.431,0.439,0.52
ARGO_top10_weighted2_obs,,,0.608,0.343,0.461,0.455,,0.402,0.398,0.471
GFT,,,1.959,0.474,1.045,,,1.076,1.076,1.159
MAPE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR52,,,0.263,0.255,0.205,0.249,,0.27,0.281,0.241
ARGO,,,0.269,0.252,0.22,0.181,,0.29,0.321,0.247
ARGO_top10,,,0.318,0.265,0.196,0.17,,0.275,0.305,0.26
ARGO_all_weighted1,,,0.361,0.232,0.225,0.238,,0.285,0.301,0.273
ARGO_all_weighted2,,,0.289,0.211,0.213,0.197,,0.26,0.28,0.237
ARGO_all_weighted_more_ar,,,0.299,0.245,0.196,0.185,,0.25,0.271,0.247
ARGO_top10_weighted1,,,0.399,0.244,0.199,0.211,,0.29,0.316,0.28
ARGO_top10_weighted2,,,0.287,0.222,0.182,0.2,,0.261,0.281,0.231
ARGO_top10_weighted_more_ar,,,0.324,0.24,0.179,0.185,,0.264,0.289,0.248
ARGO_obs_weight,,,0.261,0.246,0.218,0.183,,0.281,0.311,0.242
ARGO_top10_obs,,,0.296,0.247,0.19,0.183,,0.27,0.297,0.244
ARGO_top10_weighted2_obs,,,0.303,0.216,0.171,0.21,,0.247,0.261,0.23
GFT,,,1.279,0.249,0.307,,,0.674,0.674,0.612
