Metric,14.15,15.16,16.17,ALL_PERIOD,GFT_PERIOD,SCORE
PEARSON,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.96,,,0.968,0.968,0.968
AR52,0.934,0.626,,0.926,0.947,0.926
ARGO(gt),0.96,0.778,,0.954,0.968,0.954
"ARGO(gt,ath)",0.984,0.837,,0.968,0.985,0.968
Net,0.966,0.776,,0.958,0.972,0.958
ARGONet,0.979,0.793,,0.965,0.981,0.965
RMSE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,1.045,,,0.91,0.91,0.91
AR52,0.777,0.536,,0.593,0.671,0.593
ARGO(gt),0.67,0.411,,0.497,0.582,0.497
"ARGO(gt,ath)",0.457,0.459,,0.407,0.397,0.407
Net,0.672,0.395,,0.493,0.583,0.493
ARGONet,0.514,0.43,,0.423,0.447,0.423
MAPE,0.0,0.0,0.0,0.0,0.0,0.0
GFT,0.307,,,0.396,0.396,0.396
AR52,0.205,0.249,,0.23,0.231,0.23
ARGO(gt),0.173,0.194,,0.198,0.203,0.198
"ARGO(gt,ath)",0.182,0.2,,0.197,0.204,0.197
Net,0.224,0.179,,0.206,0.234,0.206
ARGONet,0.188,0.19,,0.202,0.213,0.202
