Metric,State,Model,2012-13,2013-14,2014-15,2015-16,2016-17,Whole Period,GFT Period
RMSE,AK,GFT,1.446,0.499,0.605,--,--,0.875,0.875
RMSE,AK,AR52,0.611,0.74,0.61,1.034,0.825,0.7170000000000001,0.622
RMSE,AK,ARGO,0.5870000000000001,0.65,0.6629999999999999,0.8440000000000001,0.784,0.6629999999999999,0.605
RMSE,AL,GFT,10.042,4.0969999999999995,3.5610000000000004,--,--,5.484,5.484
RMSE,AL,AR52,1.379,0.653,2.594,3.307,3.04,2.026,1.4480000000000002
RMSE,AL,ARGO,1.368,0.574,2.09,3.803,2.384,1.96,1.2409999999999999
RMSE,AR,GFT,7.037999999999999,0.937,0.873,--,--,3.4539999999999997,3.4539999999999997
RMSE,AR,AR52,0.6559999999999999,0.9890000000000001,1.382,1.136,--,0.9259999999999999,0.894
RMSE,AR,ARGO,0.72,0.958,1.27,0.925,--,0.866,0.867
RMSE,AZ,GFT,0.9990000000000001,0.396,0.524,--,--,0.5670000000000001,0.5670000000000001
RMSE,AZ,AR52,0.502,0.258,0.258,0.509,0.36700000000000005,0.353,0.302
RMSE,AZ,ARGO,0.34600000000000003,0.23800000000000002,0.248,0.48200000000000004,0.37,0.313,0.239
RMSE,DE,GFT,0.7090000000000001,1.186,0.733,--,--,0.883,0.883
RMSE,DE,AR52,0.665,0.667,0.602,0.35200000000000004,0.18600000000000003,0.518,0.629
RMSE,DE,ARGO,0.589,0.6459999999999999,0.637,0.251,0.196,0.49200000000000005,0.608
RMSE,GA,GFT,5.371,1.413,1.784,--,--,2.763,2.763
RMSE,GA,AR52,0.429,0.532,1.048,0.45399999999999996,0.8059999999999999,0.607,0.597
RMSE,GA,ARGO,0.618,0.287,0.7659999999999999,0.7290000000000001,0.982,0.636,0.513
RMSE,ID,GFT,3.833,0.932,0.7929999999999999,--,--,2.083,2.083
RMSE,ID,AR52,0.742,1.176,0.87,0.65,--,0.818,0.868
RMSE,ID,ARGO,0.715,0.9840000000000001,0.767,0.6559999999999999,--,0.742,0.7709999999999999
RMSE,KS,GFT,2.5580000000000003,0.5820000000000001,0.9570000000000001,--,--,1.3219999999999998,1.3219999999999998
RMSE,KS,AR52,0.835,0.78,0.865,0.6459999999999999,1.153,0.728,0.682
RMSE,KS,ARGO,0.679,0.735,0.84,0.479,0.774,0.604,0.631
RMSE,KY,GFT,1.449,0.311,0.479,--,--,0.757,0.757
RMSE,KY,AR52,0.225,0.221,0.374,0.39399999999999996,1.28,0.5489999999999999,0.24100000000000002
RMSE,KY,ARGO,0.214,0.138,0.316,0.39799999999999996,1.207,0.516,0.201
RMSE,LA,GFT,4.331,0.6990000000000001,0.47700000000000004,--,--,2.074,2.074
RMSE,LA,AR52,0.762,0.9390000000000001,0.5660000000000001,0.501,0.465,0.563,0.638
RMSE,LA,ARGO,0.8240000000000001,0.54,0.524,0.327,0.47200000000000003,0.489,0.551
RMSE,MA,GFT,2.4090000000000003,0.25,0.259,--,--,1.148,1.148
RMSE,MA,AR52,0.49200000000000005,0.239,0.358,0.251,0.27899999999999997,0.28800000000000003,0.315
RMSE,MA,ARGO,0.308,0.14400000000000002,0.165,0.157,0.10400000000000001,0.17600000000000002,0.192
